month,weekofmonth,dayofweek,make,accidentarea,dayofweekclaimed,monthclaimed,weekofmonthclaimed,sex,maritalstatus,age,fault,policytype,vehiclecategory,vehicleprice,deductible,driverrating,days_policy_accident,days_policy_claim,pastnumberofclaims,ageofvehicle,ageofpolicyholder,policereportfiled,witnesspresent,agenttype,numberofsuppliments,addresschange_claim,numberofcars,year,basepolicy,avg_speed_kmph,max_speed_kmph,hard_brakes_per_trip,rapid_acceleration_events,trip_duration_minutes,distance_km,night_driving_ratio,urban_driving_ratio,harsh_cornering_events,idle_time_minutes,speeding_risk,speed_volatility,harsh_braking_risk,harsh_acceleration_risk,harsh_cornering_risk,harsh_driving_index,high_night_driving,high_urban_driving,fast_claim,high_claim_history,claim_driving_risk,risk_feature,Actual,Predicted,Fraud_Probability
5,-1.3891461474316629,4,2,1,1,6,0.2430603947710248,1,1,0.0848130956611457,0,0.620813878281739,1.1168761261592903,-0.7030456248839536,-0.1752981807308278,1.3508748511170372,0.1031245422354971,0.0697648264854939,-1.1479877769402458,0.1760381739612992,0.0774477580503286,-0.168963188983844,-0.075326199904784,0,-0.9021658084020826,3,-0.2577393454619548,1995,2,-1.0868752278953528,-1.1717023107600284,0.0054582831605921,-1.5112533723774584,-1.2670943110685098,-1.315120734395728,1.7375877836394245,1.5905341695686075,-1.4063275182196668,-0.6355468862384733,0.0,-0.4461674812783173,-0.3012553020621949,-0.5242152108643809,-0.134501245246764,-1.6745760769323172,1.0100374020389646,1.139325499207562,-0.0080532632494884,-0.9724923264073272,-0.0080532632494884,-2.2851377220969256,0,0,0.009869255647779103
9,-0.6124734283092464,3,17,1,2,10,0.2430603947710248,1,2,-1.249316846628888,0,-1.0585037259818193,-0.7389676093338408,1.4738546834916617,-0.1752981807308278,-0.4357698185994663,0.1031245422354971,0.0697648264854939,-0.5594522519579135,-1.578086958499594,-1.3553589955622354,-0.168963188983844,-0.075326199904784,0,1.4824066084522516,3,-0.2577393454619548,1994,0,-2.0194231243100407,-2.102546650218464,-0.5750018984692733,-0.0074766245568254,0.4400133223551388,-0.6360390827741506,-0.3102225723911285,0.7765834254584975,-0.707964439160435,-1.0291813677961976,0.0,-0.6616947678202545,-0.3012553020621949,-0.5242152108643809,-0.134501245246764,-0.6736859995534911,-0.990062346187674,1.139325499207562,-0.0080532632494884,-0.9724923264073272,-0.0080532632494884,0.19731368039949088,0,1,0.18754964664687124
2,0.9408720099355862,0,5,0,7,3,1.037294615446847,1,1,-0.2857785549749747,1,3.979449086808856,2.972719861652421,2.0180797605855654,-0.1752981807308278,0.4575525162587854,0.1031245422354971,0.0697648264854939,-1.1479877769402458,0.1760381739612992,0.0774477580503286,-0.168963188983844,-0.075326199904784,0,-0.3060227041884991,3,-0.2577393454619548,1994,0,-0.2229929168760693,-1.1617640205853863,4.068679554569649,0.4937822913833855,2.463376328189013,1.9975281605161663,-0.4759621876209099,-1.1763070375283722,0.6887617189580283,-0.2324492294758002,0.0,-2.1608410497337243,3.3194436517952064,-0.5242152108643809,-0.134501245246764,2.996244284168871,-0.990062346187674,-0.8777122961748268,-0.0080532632494884,-0.9724923264073272,-0.0080532632494884,-0.9507478731136466,0,0,0.013099212321142664
0,-1.3891461474316629,6,6,1,6,1,0.2430603947710248,1,2,0.2330497559155939,0,-0.2188449238500402,-0.7389676093338408,-0.7030456248839536,-0.1752981807308278,0.4575525162587854,0.1031245422354971,0.0697648264854939,0.617618798006751,0.1760381739612992,0.0774477580503286,-0.168963188983844,-0.075326199904784,0,-0.3060227041884991,3,-0.2577393454619548,1995,1,-0.5103463354123705,0.0407188526183949,0.0054582831605921,0.4937822913833855,2.4269289150003224,1.7064932106850363,-1.1181157140220763,-0.9251316218680852,-0.707964439160435,1.661587719326883,0.0,1.1175956036926362,-0.3012553020621949,-0.5242152108643809,-0.134501245246764,-0.0064259479676072,-0.990062346187674,-0.8777122961748268,-0.0080532632494884,1.0282857487362331,-0.0080532632494884,-1.908056874738925,0,0,0.1458909750487945
7,-0.6124734283092464,3,5,1,2,8,0.2430603947710248,1,1,0.9001147270606108,0,0.620813878281739,1.1168761261592903,0.9296296063977578,-0.1752981807308278,0.4575525162587854,0.1031245422354971,0.0697648264854939,0.617618798006751,-0.7010243922691474,0.7938511348566107,-0.168963188983844,-0.075326199904784,0,-0.3060227041884991,3,-0.2577393454619548,1994,2,1.500126355549814,1.9318552003133231,-0.5750018984692733,-0.5087355404970364,0.1606410679585747,0.8282534350738422,1.5207346821079537,1.4479483934941455,1.38712479801726,-1.4812747549182512,0.0,1.3224798368999031,-0.3012553020621949,-0.5242152108643809,-0.134501245246764,-0.0064259479676072,1.0100374020389646,1.139325499207562,-0.0080532632494884,1.0282857487362331,-0.0080532632494884,1.25955372429184,0,0,0.03503859360878524
7,0.9408720099355862,0,9,1,2,8,1.8315288361226691,1,1,0.8259963969333867,0,-1.0585037259818193,-0.7389676093338408,-0.1588205477900497,-0.1752981807308278,-1.329092153457718,0.1031245422354971,0.0697648264854939,0.617618798006751,1.0531007401917458,0.7938511348566107,-0.168963188983844,-0.075326199904784,0,1.4824066084522516,3,-0.2577393454619548,1995,0,1.0724166597373148,0.8375361123947218,0.0054582831605921,0.4937822913833855,0.4694365300139994,0.9750265723638905,1.3085688497644885,-0.8752579949449756,-0.0096013601012034,-0.9540271066070596,0.0,-0.2752657667994312,-0.3012553020621949,-0.5242152108643809,-0.134501245246764,0.3272040778253349,1.0100374020389646,-0.8777122961748268,-0.0080532632494884,1.0282857487362331,-0.0080532632494884,1.2758894002880279,0,0,0.11227592978205769
3,0.9408720099355862,3,17,1,7,8,-1.3454080465806195,1,1,0.6777597366789385,1,-0.2188449238500402,-0.7389676093338408,-0.7030456248839536,-0.1752981807308278,0.4575525162587854,0.1031245422354971,0.0697648264854939,-1.1479877769402458,-0.7010243922691474,0.7938511348566107,-0.168963188983844,-0.075326199904784,0,1.4824066084522516,3,-0.2577393454619548,1994,1,1.9311662850206148,1.542262980211403,-1.735922261729004,-1.0099944564372474,-1.4305641126695503,-1.0062615601991678,-0.4832127650084477,-0.5688474378582703,-0.707964439160435,0.5002615669441686,0.0,-0.4191914049503729,-0.3012553020621949,-0.5242152108643809,-0.134501245246764,-2.00820610272526,-0.990062346187674,-0.8777122961748268,-0.0080532632494884,-0.9724923264073272,-0.0080532632494884,0.4862384308255544,0,0,0.0014053911047615102
4,0.1641992908131698,2,9,1,7,4,-1.3454080465806195,1,1,-0.3598968851021988,0,-1.0585037259818193,-0.7389676093338408,-0.7030456248839536,-0.1752981807308278,-1.329092153457718,0.1031245422354971,0.0697648264854939,-0.5594522519579135,0.1760381739612992,-0.6389556187559534,-0.168963188983844,-0.075326199904784,0,0.6875491361674735,3,-0.2577393454619548,1995,0,-1.062202566003709,0.1447939465104027,0.0054582831605921,0.4937822913833855,0.359551909311754,-0.2021734613289766,0.8990451064054489,1.2301338034431224,-0.0096013601012034,-0.0475483441867182,0.0,2.4609464430982184,-0.3012553020621949,-0.5242152108643809,-0.134501245246764,0.3272040778253349,1.0100374020389646,1.139325499207562,-0.0080532632494884,-0.9724923264073272,-0.0080532632494884,-0.18176306105286766,1,1,0.2608771647066639
8,-1.3891461474316629,0,13,1,2,9,-0.5511738259047975,1,1,-0.2116602248477506,1,-1.0585037259818193,-0.7389676093338408,1.4738546834916617,-0.1752981807308278,1.3508748511170372,0.1031245422354971,0.0697648264854939,-1.1479877769402458,1.0531007401917458,0.0774477580503286,-0.168963188983844,-0.075326199904784,0,-0.9021658084020826,3,-0.2577393454619548,1995,0,-0.3878334004361076,-0.0286041674006915,0.0054582831605921,-0.0074766245568254,-0.774734275034087,-0.7937187951346362,-1.689633127133448,-0.8080173524816783,-0.707964439160435,1.3363682928046794,0.0,0.7155680774479788,-0.3012553020621949,-0.5242152108643809,-0.134501245246764,-0.3400559737605493,-0.990062346187674,-0.8777122961748268,-0.0080532632494884,-0.9724923264073272,-0.0080532632494884,1.3410935698879278,0,0,0.003352848880941914
5,-0.6124734283092464,3,17,1,6,6,-0.5511738259047975,1,1,0.7518780668061626,1,-1.0585037259818193,-0.7389676093338408,1.4738546834916617,-0.1752981807308278,0.4575525162587854,0.1031245422354971,0.0697648264854939,-1.1479877769402458,1.0531007401917458,0.7938511348566107,-0.168963188983844,-0.075326199904784,0,1.4824066084522516,3,-0.2577393454619548,1996,0,1.0505521152837174,0.3837979779083056,0.5859184647904575,-1.5112533723774584,0.5777497801043726,1.083016893243724,0.7138406965160017,-0.7214936092794327,-0.0096013601012034,-0.9204034292882928,0.0,-1.2503549050111258,-0.3012553020621949,-0.5242152108643809,-0.134501245246764,-0.6736859995534911,1.0100374020389646,-0.8777122961748268,-0.0080532632494884,-0.9724923264073272,-0.0080532632494884,0.7731015334116962,0,0,0.0014958527350861152
